sku,product_slug,product_name,category,source_folder,source_image_count,has_main_image,has_gallery_images,can_auto_match,contains_old_brand,contains_contact_details,suggested_status,notes
GS-WRA-001,custom-wire-rope-cable-assembly,Custom Wire Rope Cable Assembly,wire-rope-assemblies,image-import/wire-rope-assemblies/custom-wire-rope-cable-assembly/,0,false,false,false,false,false,missing,No source image file found; only the folder README may be present.
GS-WRA-002,stainless-steel-wire-rope-assembly,Stainless Steel Wire Rope Assembly,wire-rope-assemblies,image-import/wire-rope-assemblies/stainless-steel-wire-rope-assembly/,0,false,false,false,false,false,missing,No source image file found; only the folder README may be present.
GS-WRA-003,galvanized-wire-rope-assembly,Galvanized Wire Rope Assembly,wire-rope-assemblies,image-import/wire-rope-assemblies/galvanized-wire-rope-assembly/,0,false,false,false,false,false,missing,No source image file found; only the folder README may be present.
GS-WRA-004,pvc-coated-wire-rope-assembly,PVC Coated Wire Rope Assembly,wire-rope-assemblies,image-import/wire-rope-assemblies/pvc-coated-wire-rope-assembly/,0,false,false,false,false,false,missing,No source image file found; only the folder README may be present.
GS-WRA-005,wire-rope-assembly-with-eye-loops,Wire Rope Assembly with Eye Loops,wire-rope-assemblies,image-import/wire-rope-assemblies/wire-rope-assembly-with-eye-loops/,0,false,false,false,false,false,missing,No source image file found; only the folder README may be present.
GS-WRA-006,wire-rope-assembly-with-carabiner-hook,Wire Rope Assembly with Carabiner Hook,wire-rope-assemblies,image-import/wire-rope-assemblies/wire-rope-assembly-with-carabiner-hook/,0,false,false,false,false,false,missing,No source image file found; only the folder README may be present.
GS-LAN-001,coiled-tool-safety-lanyard,Coiled Tool Safety Lanyard,tool-safety-lanyards,image-import/tool-safety-lanyards/coiled-tool-safety-lanyard/,0,false,false,false,false,false,missing,No source image file found; only the folder README may be present.
GS-LAN-002,tool-lanyard-with-carabiner,Tool Lanyard with Carabiner,tool-safety-lanyards,image-import/tool-safety-lanyards/tool-lanyard-with-carabiner/,0,false,false,false,false,false,missing,No source image file found; only the folder README may be present.
GS-LAN-003,tool-lanyard-with-dual-hooks,Tool Lanyard with Dual Hooks,tool-safety-lanyards,image-import/tool-safety-lanyards/tool-lanyard-with-dual-hooks/,0,false,false,false,false,false,missing,No source image file found; only the folder README may be present.
GS-LAN-004,spring-coil-safety-lanyard,Spring Coil Safety Lanyard,tool-safety-lanyards,image-import/tool-safety-lanyards/spring-coil-safety-lanyard/,0,false,false,false,false,false,missing,No source image file found; only the folder README may be present.
GS-SUS-001,lighting-suspension-cable-kit,Lighting Suspension Cable Kit,suspension-hanging-kits,image-import/suspension-hanging-kits/lighting-suspension-cable-kit/,0,false,false,false,false,false,missing,No source image file found; only the folder README may be present.
GS-SUS-002,adjustable-cable-gripper-kit,Adjustable Cable Gripper Kit,suspension-hanging-kits,image-import/suspension-hanging-kits/adjustable-cable-gripper-kit/,0,false,false,false,false,false,missing,No source image file found; only the folder README may be present.
GS-SUS-003,led-panel-suspension-kit,LED Panel Suspension Kit,suspension-hanging-kits,image-import/suspension-hanging-kits/led-panel-suspension-kit/,0,false,false,false,false,false,missing,No source image file found; only the folder README may be present.
GS-SUS-004,sign-hanging-cable-kit,Sign Hanging Cable Kit,suspension-hanging-kits,image-import/suspension-hanging-kits/sign-hanging-cable-kit/,0,false,false,false,false,false,missing,No source image file found; only the folder README may be present.
GS-CTL-001,bowden-cable-assembly,Bowden Cable Assembly,control-brake-cables,image-import/control-brake-cables/bowden-cable-assembly/,0,false,false,false,false,false,missing,No source image file found; only the folder README may be present.
GS-CTL-002,push-pull-control-cable,Push Pull Control Cable,control-brake-cables,image-import/control-brake-cables/push-pull-control-cable/,0,false,false,false,false,false,missing,No source image file found; only the folder README may be present.
GS-CTL-003,brake-cable-assembly,Brake Cable Assembly,control-brake-cables,image-import/control-brake-cables/brake-cable-assembly/,0,false,false,false,false,false,missing,No source image file found; only the folder README may be present.
GS-CTL-004,throttle-control-cable,Throttle Control Cable,control-brake-cables,image-import/control-brake-cables/throttle-control-cable/,0,false,false,false,false,false,missing,No source image file found; only the folder README may be present.
GS-GYM-001,gym-equipment-cable-assembly,Gym Equipment Cable Assembly,gym-fitness-cables,image-import/gym-fitness-cables/gym-equipment-cable-assembly/,0,false,false,false,false,false,missing,No source image file found; only the folder README may be present.
GS-GYM-002,weight-stack-cable-assembly,Weight Stack Cable Assembly,gym-fitness-cables,image-import/gym-fitness-cables/weight-stack-cable-assembly/,0,false,false,false,false,false,missing,No source image file found; only the folder README may be present.
GS-GYM-003,pvc-coated-gym-cable,PVC Coated Gym Cable,gym-fitness-cables,image-import/gym-fitness-cables/pvc-coated-gym-cable/,0,false,false,false,false,false,missing,No source image file found; only the folder README may be present.
GS-GYM-004,fitness-cable-with-ball-end,Fitness Cable with Ball End,gym-fitness-cables,image-import/gym-fitness-cables/fitness-cable-with-ball-end/,0,false,false,false,false,false,missing,No source image file found; only the folder README may be present.
GS-FIT-001,wire-rope-thimble,Wire Rope Thimble,wire-rope-fittings,image-import/wire-rope-fittings/wire-rope-thimble/,0,false,false,false,false,false,missing,No source image file found; only the folder README may be present.
GS-FIT-002,wire-rope-sleeve,Wire Rope Sleeve,wire-rope-fittings,image-import/wire-rope-fittings/wire-rope-sleeve/,0,false,false,false,false,false,missing,No source image file found; only the folder README may be present.
GS-FIT-003,swage-terminal,Swage Terminal,wire-rope-fittings,image-import/wire-rope-fittings/swage-terminal/,0,false,false,false,false,false,missing,No source image file found; only the folder README may be present.
GS-FIT-004,cable-gripper,Cable Gripper,wire-rope-fittings,image-import/wire-rope-fittings/cable-gripper/,0,false,false,false,false,false,missing,No source image file found; only the folder README may be present.
