sku,product_slug,product_name,category,candidate_count,selected_source_file,selected_main_file,selected_type,width,height,file_size_bytes,aspect_ratio,score,selection_reason,needs_manual_review,status,notes
GS-WRA-001,custom-wire-rope-cable-assembly,Custom Wire Rope Cable Assembly,wire-rope-assemblies,2,image-import/wire-rope-assemblies/custom-wire-rope-cable-assembly/custom-high-quality-7-7-galvanized-stainless88655.webp,image-import/wire-rope-assemblies/custom-wire-rope-cable-assembly/main-original-01.webp,review,730,730,60978,1.000,55,readable +10; short edge 600-799px +10; near 1:1 +20; review +10; file >30KB +5,true,existing,Existing main-original-01 is kept without overwrite.
GS-WRA-002,stainless-steel-wire-rope-assembly,Stainless Steel Wire Rope Assembly,wire-rope-assemblies,2,image-import/wire-rope-assemblies/stainless-steel-wire-rope-assembly/detail-original-01.webp,image-import/wire-rope-assemblies/stainless-steel-wire-rope-assembly/main-original-01.webp,detail,730,730,28182,1.000,65,readable +10; short edge 600-799px +10; near 1:1 +20; detail +25,false,existing,Existing main-original-01 is kept without overwrite.
GS-WRA-003,galvanized-wire-rope-assembly,Galvanized Wire Rope Assembly,wire-rope-assemblies,5,image-import/wire-rope-assemblies/galvanized-wire-rope-assembly/detail-original-01.webp,image-import/wire-rope-assemblies/galvanized-wire-rope-assembly/main-original-01.webp,detail,750,750,39726,1.000,70,readable +10; short edge 600-799px +10; near 1:1 +20; detail +25; file >30KB +5,false,existing,Existing main-original-01 is kept without overwrite.
GS-WRA-004,pvc-coated-wire-rope-assembly,PVC Coated Wire Rope Assembly,wire-rope-assemblies,2,image-import/wire-rope-assemblies/pvc-coated-wire-rope-assembly/detail-original-01.webp,image-import/wire-rope-assemblies/pvc-coated-wire-rope-assembly/main-original-01.webp,detail,730,730,18896,1.000,65,readable +10; short edge 600-799px +10; near 1:1 +20; detail +25,false,existing,Existing main-original-01 is kept without overwrite.
GS-WRA-005,wire-rope-assembly-with-eye-loops,Wire Rope Assembly with Eye Loops,wire-rope-assemblies,2,image-import/wire-rope-assemblies/wire-rope-assembly-with-eye-loops/detail-original-01.webp,image-import/wire-rope-assemblies/wire-rope-assembly-with-eye-loops/main-original-01.webp,detail,730,730,21136,1.000,65,readable +10; short edge 600-799px +10; near 1:1 +20; detail +25,false,existing,Existing main-original-01 is kept without overwrite.
GS-WRA-006,wire-rope-assembly-with-carabiner-hook,Wire Rope Assembly with Carabiner Hook,wire-rope-assemblies,5,image-import/wire-rope-assemblies/wire-rope-assembly-with-carabiner-hook/terminal-original-01.webp,image-import/wire-rope-assemblies/wire-rope-assembly-with-carabiner-hook/main-original-01.webp,terminal,730,730,43228,1.000,65,readable +10; short edge 600-799px +10; near 1:1 +20; terminal +20; file >30KB +5,false,existing,Existing main-original-01 is kept without overwrite.
GS-LAN-001,coiled-tool-safety-lanyard,Coiled Tool Safety Lanyard,tool-safety-lanyards,2,image-import/tool-safety-lanyards/coiled-tool-safety-lanyard/safety-coiled-tool-lanyard09071636925.webp,image-import/tool-safety-lanyards/coiled-tool-safety-lanyard/main-original-01.webp,review,730,730,45754,1.000,55,readable +10; short edge 600-799px +10; near 1:1 +20; review +10; file >30KB +5,true,existing,Existing main-original-01 is kept without overwrite.
GS-LAN-002,tool-lanyard-with-carabiner,Tool Lanyard with Carabiner,tool-safety-lanyards,2,image-import/tool-safety-lanyards/tool-lanyard-with-carabiner/terminal-original-01.webp,image-import/tool-safety-lanyards/tool-lanyard-with-carabiner/main-original-01.webp,terminal,730,730,47904,1.000,65,readable +10; short edge 600-799px +10; near 1:1 +20; terminal +20; file >30KB +5,false,existing,Existing main-original-01 is kept without overwrite.
GS-LAN-003,tool-lanyard-with-dual-hooks,Tool Lanyard with Dual Hooks,tool-safety-lanyards,5,image-import/tool-safety-lanyards/tool-lanyard-with-dual-hooks/custom-black-safety-coil-tool-lanyard-with26375774083.webp,image-import/tool-safety-lanyards/tool-lanyard-with-dual-hooks/main-original-01.webp,review,730,740,33960,1.014,55,readable +10; short edge 600-799px +10; near 1:1 +20; review +10; file >30KB +5,true,existing,Existing main-original-01 is kept without overwrite.
GS-LAN-004,spring-coil-safety-lanyard,Spring Coil Safety Lanyard,tool-safety-lanyards,7,image-import/tool-safety-lanyards/spring-coil-safety-lanyard/stainless-steel-inside-spring-coil-safety50176382869.webp,image-import/tool-safety-lanyards/spring-coil-safety-lanyard/main-original-01.webp,review,730,730,60558,1.000,55,readable +10; short edge 600-799px +10; near 1:1 +20; review +10; file >30KB +5,true,existing,Existing main-original-01 is kept without overwrite.
GS-SUS-001,lighting-suspension-cable-kit,Lighting Suspension Cable Kit,suspension-hanging-kits,6,image-import/suspension-hanging-kits/lighting-suspension-cable-kit/59461572136.webp,image-import/suspension-hanging-kits/lighting-suspension-cable-kit/main-original-01.webp,review,730,730,70222,1.000,55,readable +10; short edge 600-799px +10; near 1:1 +20; review +10; file >30KB +5,true,existing,Existing main-original-01 is kept without overwrite.
GS-SUS-002,adjustable-cable-gripper-kit,Adjustable Cable Gripper Kit,suspension-hanging-kits,2,image-import/suspension-hanging-kits/adjustable-cable-gripper-kit/terminal-original-01.webp,image-import/suspension-hanging-kits/adjustable-cable-gripper-kit/main-original-01.webp,terminal,730,730,21724,1.000,60,readable +10; short edge 600-799px +10; near 1:1 +20; terminal +20,false,existing,Existing main-original-01 is kept without overwrite.
GS-SUS-003,led-panel-suspension-kit,LED Panel Suspension Kit,suspension-hanging-kits,5,image-import/suspension-hanging-kits/led-panel-suspension-kit/led-panel-light-hanging-suspension-kit43278991806.webp,image-import/suspension-hanging-kits/led-panel-suspension-kit/main-original-01.webp,review,730,730,40274,1.000,55,readable +10; short edge 600-799px +10; near 1:1 +20; review +10; file >30KB +5,true,existing,Existing main-original-01 is kept without overwrite.
GS-SUS-004,sign-hanging-cable-kit,Sign Hanging Cable Kit,suspension-hanging-kits,5,image-import/suspension-hanging-kits/sign-hanging-cable-kit/detail-original-01.webp,image-import/suspension-hanging-kits/sign-hanging-cable-kit/main-original-01.webp,detail,730,730,26780,1.000,65,readable +10; short edge 600-799px +10; near 1:1 +20; detail +25,false,existing,Existing main-original-01 is kept without overwrite.
GS-CTL-001,bowden-cable-assembly,Bowden Cable Assembly,control-brake-cables,7,image-import/control-brake-cables/bowden-cable-assembly/construction-original-05.webp,image-import/control-brake-cables/bowden-cable-assembly/main-original-01.webp,construction,730,730,32280,1.000,60,readable +10; short edge 600-799px +10; near 1:1 +20; construction +15; file >30KB +5,false,existing,Existing main-original-01 is kept without overwrite.
GS-CTL-002,push-pull-control-cable,Push Pull Control Cable,control-brake-cables,6,image-import/control-brake-cables/push-pull-control-cable/push-pull-control-cable-assemblies28340444875.webp,image-import/control-brake-cables/push-pull-control-cable/main-original-01.webp,review,730,730,23482,1.000,50,readable +10; short edge 600-799px +10; near 1:1 +20; review +10,true,existing,Existing main-original-01 is kept without overwrite.
GS-CTL-003,brake-cable-assembly,Brake Cable Assembly,control-brake-cables,6,image-import/control-brake-cables/brake-cable-assembly/construction-original-01.webp,image-import/control-brake-cables/brake-cable-assembly/main-original-01.webp,construction,730,730,23168,1.000,55,readable +10; short edge 600-799px +10; near 1:1 +20; construction +15,false,existing,Existing main-original-01 is kept without overwrite.
GS-CTL-004,throttle-control-cable,Throttle Control Cable,control-brake-cables,6,image-import/control-brake-cables/throttle-control-cable/throttle-motorcycle-control-cable49510017499.webp,image-import/control-brake-cables/throttle-control-cable/main-original-01.webp,review,730,730,31244,1.000,55,readable +10; short edge 600-799px +10; near 1:1 +20; review +10; file >30KB +5,true,existing,Existing main-original-01 is kept without overwrite.
GS-GYM-001,gym-equipment-cable-assembly,Gym Equipment Cable Assembly,gym-fitness-cables,6,image-import/gym-fitness-cables/gym-equipment-cable-assembly/detail-original-02.webp,image-import/gym-fitness-cables/gym-equipment-cable-assembly/main-original-01.webp,detail,730,794,33304,1.088,70,readable +10; short edge 600-799px +10; near 1:1 +20; detail +25; file >30KB +5,false,existing,Existing main-original-01 is kept without overwrite.
GS-GYM-002,weight-stack-cable-assembly,Weight Stack Cable Assembly,gym-fitness-cables,4,image-import/gym-fitness-cables/weight-stack-cable-assembly/review-original-04.jpg,image-import/gym-fitness-cables/weight-stack-cable-assembly/main-original-01.jpg,review,2000,2000,293637,1.000,75,readable +10; short edge >=1000px +30; near 1:1 +20; review +10; file >30KB +5,true,existing,Existing main-original-01 is kept without overwrite.
GS-GYM-003,pvc-coated-gym-cable,PVC Coated Gym Cable,gym-fitness-cables,7,image-import/gym-fitness-cables/pvc-coated-gym-cable/application-original-01.webp,image-import/gym-fitness-cables/pvc-coated-gym-cable/main-original-01.webp,application,730,730,40814,1.000,50,readable +10; short edge 600-799px +10; near 1:1 +20; application +5; file >30KB +5,false,existing,Existing main-original-01 is kept without overwrite.
GS-GYM-004,fitness-cable-with-ball-end,Fitness Cable with Ball End,gym-fitness-cables,2,image-import/gym-fitness-cables/fitness-cable-with-ball-end/detail-original-01.webp,image-import/gym-fitness-cables/fitness-cable-with-ball-end/main-original-01.webp,detail,730,730,17436,1.000,65,readable +10; short edge 600-799px +10; near 1:1 +20; detail +25,false,existing,Existing main-original-01 is kept without overwrite.
GS-FIT-001,wire-rope-thimble,Wire Rope Thimble,wire-rope-fittings,5,image-import/wire-rope-fittings/wire-rope-thimble/detail-original-01.webp,image-import/wire-rope-fittings/wire-rope-thimble/main-original-01.webp,detail,730,730,43522,1.000,70,readable +10; short edge 600-799px +10; near 1:1 +20; detail +25; file >30KB +5,false,existing,Existing main-original-01 is kept without overwrite.
GS-FIT-002,wire-rope-sleeve,Wire Rope Sleeve,wire-rope-fittings,4,image-import/wire-rope-fittings/wire-rope-sleeve/detail-original-01.webp,image-import/wire-rope-fittings/wire-rope-sleeve/main-original-01.webp,detail,730,730,23178,1.000,65,readable +10; short edge 600-799px +10; near 1:1 +20; detail +25,false,existing,Existing main-original-01 is kept without overwrite.
GS-FIT-003,swage-terminal,Swage Terminal,wire-rope-fittings,2,image-import/wire-rope-fittings/swage-terminal/terminal-original-01.webp,image-import/wire-rope-fittings/swage-terminal/main-original-01.webp,terminal,730,730,9378,1.000,40,readable +10; short edge 600-799px +10; near 1:1 +20; terminal +20; file <10KB -20,false,existing,Existing main-original-01 is kept without overwrite.
GS-FIT-004,cable-gripper,Cable Gripper,wire-rope-fittings,2,image-import/wire-rope-fittings/cable-gripper/detail-original-01.webp,image-import/wire-rope-fittings/cable-gripper/main-original-01.webp,detail,730,730,28308,1.000,65,readable +10; short edge 600-799px +10; near 1:1 +20; detail +25,false,existing,Existing main-original-01 is kept without overwrite.
